"","major_category","major","unwgt_num","num","num_in_grad","num_went_grad","num_no_grad","pct","pct_in_grad","pct_went_grad","pct_no_grad","num_lab_force","num_nilf","num_unemployed","num_employed","num_ftyr","num_ft","num_pt","num_lowend","num_noncollege","epop","lfpr","pct_nilf","urate","pct_employed","pct_ftyr","pct_ft","pct_pt","pct_lowend","pct_noncollege","per25_ftyr_earn","med_ftyr_earn","per75_ftyr_earn","ever_marr","men","women","white","black","natam","asian","hispan","pct_ever_marr","pct_men","pct_women","pct_white","pct_black","pct_natam","pct_asian","pct_hispan"
"1","Agriculture & Natural Resources","Agricultural Economics",104,10094,1500,1540,6534,0.000433456168816878,0.148603130572617,0.152565880721221,0.647315236774321,9601,493,154,9447,5689,8443,1004,1140,4996,0.935902516346344,0.951159104418466,0.0488408955815336,0.0160399958337673,0.983960004166233,0.602201757171589,0.893722874986768,0.106277125013232,0.120673229596697,0.528845136022018,36402.804,51000,63704.907,3625,5475,4619,8638,467,337,171,363,0.359124232217159,0.542401426590054,0.457598573409947,0.855755894590846,0.0462651079849416,0.0333861700019814,0.0169407568852784,0.0359619575985734
"2","Agriculture & Natural Resources","Agriculture Production And Management",558,49235,5806,2065,38331,0.00211424752047741,0.117924240885549,0.0419417081344572,0.77853153244643,46178,3057,2241,43937,32772,37707,6230,3758,25224,0.892393622423073,0.937910023357368,0.0620899766426323,0.0485296028411798,0.95147039715882,0.74588615517673,0.858206067778865,0.141793932221135,0.0855315565468739,0.574094726540274,30335.67,40447.56,55000,12949,33994,15241,45360,1983,152,897,1953,0.263003960597136,0.690443789986798,0.309556210013202,0.921295826139941,0.0402762262618056,0.00308723469076876,0.0182187468264446,0.0396669036254697
"3","Agriculture & Natural Resources","Animal Sciences",839,87356,22732,8793,49211,0.00375123807045445,0.260222537661981,0.100657081368195,0.563338522826137,73693,13663,3433,70260,45745,54577,15683,4189,40396,0.804295068455515,0.843594029030633,0.156405970969367,0.0465851573419456,0.953414842658054,0.65108169655565,0.776786222601765,0.223213777398235,0.0596214062055223,0.574950185027042,25279.725,34380.426,47700,19010,19398,67958,76707,3001,142,4080,4609,0.217615275424699,0.22205687073584,0.77794312926416,0.878096524566143,0.0343536791977655,0.0016255323045927,0.0467054352305509,0.0527611154356884
"4","Agriculture & Natural Resources","Food Science",180,20103,5377,2141,11107,0.000863262270826798,0.26747251653982,0.10650151718649,0.552504601303288,16661,3442,1435,15226,10212,12716,2510,518,6220,0.757399393125404,0.828781773864597,0.171218226135403,0.0861292839565452,0.913870716043455,0.670694864048338,0.835150400630501,0.1648495993695,0.0340207539734664,0.408511756206489,40000,48000,58648.962,5530,5461,14642,13810,458,0,4866,1607,0.275083320897379,0.271650997363578,0.728349002636422,0.68696214495349,0.0227826692533453,0,0.242053424861961,0.0799383176640302
"5","Agriculture & Natural Resources","Forestry",129,13299,1303,360,9700,0.000571085158420414,0.0979772915256786,0.0270697044890593,0.729378148732987,12312,987,561,11751,7586,10681,1070,1049,6251,0.883600270697045,0.925783893525829,0.074216106474171,0.0455653021442495,0.954434697855751,0.645562079822994,0.908943919666411,0.0910560803335886,0.0892689983831163,0.531954727257255,30335.67,40447.56,45000,2030,11523,1776,12137,656,11,93,787,0.152643055868862,0.866456124520641,0.133543875479359,0.912625009399203,0.0493270170689526,0.000827129859387924,0.00699300699300699,0.0591773817580269
"6","Agriculture & Natural Resources","General Agriculture",388,41035,5971,3733,27153,0.00176212342851205,0.145509930547094,0.0909711222127452,0.661703423906421,35127,5908,1448,33679,22977,26255,7424,2761,17945,0.820738394053857,0.85602534421835,0.14397465578165,0.0412218521365331,0.958778147863467,0.682235220760711,0.779565901600404,0.220434098399596,0.081979868760949,0.532824608806675,30335.67,40447.56,55615.395,8426,21768,19267,35382,1726,111,2885,3256,0.205336907517972,0.53047398562203,0.46952601437797,0.862239551602291,0.042061654685025,0.00270500792006823,0.0703058364810528,0.0793468989886682
"7","Agriculture & Natural Resources","Natural Resources Management",524,51981,7255,2709,36379,0.00223216614932337,0.139570227583155,0.052115195936977,0.699851868952117,47326,4655,2600,44726,26969,34888,9838,4025,21204,0.860429772416845,0.91044804832535,0.0895519516746504,0.0549380889997042,0.945061911000296,0.602982605196083,0.78003845637884,0.21996154362116,0.0899923981576712,0.474086661002549,26796.5085,36000,48200,8736,27056,24925,46274,716,0,2653,2650,0.168061407052577,0.520497874223274,0.479502125776726,0.890209884380831,0.0137742636732652,0,0.0510378792251015,0.0509801658298224
"8","Agriculture & Natural Resources","Plant Science And Agronomy",321,30705,5246,1888,20850,0.00131853295656056,0.170851652825273,0.0614883569451229,0.679042501221299,27502,3203,1592,25910,18824,22013,3897,5202,13506,0.843836508711936,0.895684741898714,0.104315258101286,0.0578866991491528,0.942113300850847,0.72651485912775,0.849594751061366,0.150405248938634,0.200771902740255,0.521265920494018,26290.914,39000,52000,7946,18267,12438,26148,1192,18,2062,2461,0.258785214134506,0.594919394235467,0.405080605764533,0.851587689301417,0.0388210389187429,0.000586223742061553,0.067155186451718,0.0801498127340824
"9","Arts","Commercial Art And Graphic Design",2829,325779,26784,9656,259278,0.0139895895800469,0.0822152440765059,0.0296397250897081,0.795870820402788,291576,34203,17946,273630,182254,219610,54020,24942,104773,0.839925225382852,0.895011649001317,0.104988350998683,0.0615482755782369,0.938451724421763,0.666060008040054,0.802580126448123,0.197419873551877,0.0911522859335599,0.382900266783613,30335.67,40000,50559.45,54446,92455,233324,232686,24497,1249,40272,38947,0.167125566718542,0.283796684255277,0.716203315744723,0.714244932914645,0.0751951476307558,0.00383388738991771,0.12361754440894,0.119550370036129
"10","Arts","Drama And Theater Arts",1278,145323,16151,5286,112379,0.00624045480691254,0.111138636003936,0.0363741458681695,0.773304982693724,131724,13599,6358,125366,62654,80933,44433,26578,88463,0.862671428473125,0.906422245618381,0.0935777543816189,0.0482675898089946,0.951732410191005,0.499768677312828,0.64557376003063,0.35442623996937,0.212003254470909,0.705637892251488,24000,32863.6425,44000,14705,50064,95259,120065,9772,715,5204,12291,0.101188387247717,0.344501558597056,0.655498441402944,0.826194064256862,0.0672433131713493,0.00492007459245956,0.0358098855652581,0.0845771144278607
