"","major_category","major","unwgt_num","num","num_in_grad","num_went_grad","num_no_grad","pct","pct_in_grad","pct_went_grad","pct_no_grad","num_lowend","num_noncollege","pct_lowend","pct_noncollege","per25_ftyr_earn","med_ftyr_earn","per75_ftyr_earn","ever_marr","men","women","white","black","natam","asian","hispan","pct_ever_marr","pct_men","pct_women","pct_white","pct_black","pct_natam","pct_asian","pct_hispan"
"1","Agriculture & Natural Resources","Agriculture Production And Management",381,32772,1870,1845,28476,0.00267295216604798,0.0570609056511656,0.0562980593189308,0.868912486268766,2777,18873,0.0847369705846454,0.575887953130721,30335.67,40447.56,55000,9989,23864,8908,30872,1431,45,177,1039,0.304802880507751,0.728182594898084,0.271817405101916,0.942023678750153,0.0436653240571219,0.0013731233980227,0.00540095203222263,0.0317038935676797
"2","Agriculture & Natural Resources","Animal Sciences",452,45745,5848,5980,33253,0.00373105690332799,0.127839108099246,0.130724669362772,0.726920974969942,664,24103,0.0145152475680402,0.52689911465734,25279.725,34380.426,47700,12853,12800,32945,41635,1171,51,1060,2145,0.28097059787955,0.279812001311619,0.720187998688381,0.910154115203847,0.0255984260574926,0.00111487594272598,0.0231719313586184,0.0468903705322986
"3","Agriculture & Natural Resources","General Agriculture",229,22977,1580,2542,17948,0.00187405168800453,0.0687644165905035,0.110632371501937,0.781128955041999,1097,10462,0.0477433955694825,0.455324890107499,30335.67,40447.56,55615.395,5411,12423,10554,20808,1064,0,716,2254,0.235496365931149,0.540671105888497,0.459328894111503,0.90560125342734,0.0463071767419594,0,0.0311615963789877,0.0980980980980981
"4","Agriculture & Natural Resources","Natural Resources Management",288,26969,1747,1506,22784,0.00219964747241999,0.0647780785346138,0.0558418925432904,0.844821832474322,1364,12405,0.0505765879342949,0.459972561088657,26796.5085,36000,48200,5587,15216,11753,24511,86,0,1559,1172,0.207163780637028,0.564203344580815,0.435796655419185,0.908858318810486,0.00318884645333531,0,0.0578071118691831,0.0434573028291742
"5","Agriculture & Natural Resources","Plant Science And Agronomy",206,18824,2354,1628,14704,0.00153532441027972,0.125053123671908,0.0864853378665533,0.781130471738207,3186,9044,0.169252018699533,0.480450488737782,26290.914,39000,52000,6532,11841,6983,16910,648,0,736,1172,0.347003824904377,0.629037399065023,0.370962600934977,0.898321291967701,0.0344241393965151,0,0.0390990225244369,0.0622609434764131
"6","Arts","Commercial Art And Graphic Design",1595,182254,6860,5839,164461,0.0148650135503145,0.0376397774534441,0.0320377056196297,0.902372513086133,9896,61079,0.0542978480582045,0.335131190536285,30335.67,40000,50559.45,34303,52050,130204,139681,13376,487,13016,20140,0.188215347811296,0.285590439716001,0.714409560283999,0.76640841901961,0.0733920791861907,0.00267209498831301,0.0714168138970887,0.110505119229208
"7","Arts","Drama And Theater Arts",520,62654,5315,1504,54135,0.00511018994908977,0.0848309764739681,0.0240048520445622,0.864031027548121,8776,40103,0.140070865387685,0.640070865387685,24000,32863.6425,44000,8369,22733,39921,52279,4366,525,1606,3570,0.133574871516583,0.362833977080474,0.637166022919526,0.834408018642066,0.069684297889999,0.00837935327353401,0.0256328406805631,0.0569796022600313
"8","Arts","Film Video And Photographic Arts",565,64713,2655,3410,56959,0.0052781262517229,0.0410273051782486,0.0526942036375999,0.880178634895616,4693,36443,0.0725202045956763,0.563148053714091,28000,36100,50559.45,9439,35071,29642,52797,3768,325,3209,7247,0.145859410010353,0.541946749493919,0.458053250506081,0.815863891335589,0.0582263223772658,0.00502217483349559,0.0495881816636534,0.111986772364131
"9","Arts","Fine Arts",864,110533,6485,3570,98135,0.00901530031031921,0.0586702613699076,0.0322980467371735,0.887834402395665,9373,58330,0.084798205060932,0.527715704812138,25000,35000,45503.505,15395,38860,71673,85912,8015,184,9765,12178,0.139279672134114,0.351569214623687,0.648430785376313,0.777252042376485,0.0725122814001248,0.00166466123239214,0.0883446572516805,0.110175241782997
"10","Arts","Music",730,86743,8386,13122,62287,0.00707493865920602,0.0966763888728774,0.151274454422835,0.71806370542868,10087,49629,0.116286040372134,0.572138385806347,25279.725,35391.615,50000,16499,49132,37611,66498,8565,126,5276,8241,0.190205549727356,0.566408816849775,0.433591183150225,0.766609409404793,0.0987399559618644,0.0014525667777227,0.0608233517401981,0.0950047842477203
"11","Arts","Studio Arts",237,24719,1535,1234,21449,0.00201613281437019,0.0620979813099235,0.0499211133136454,0.867713095189935,1318,12597,0.053319309033537,0.509607993850884,23100,30537.9078,40447.56,4713,6469,18250,20946,1027,85,879,2416,0.190663052712488,0.261701525142603,0.738298474857397,0.847364375581536,0.0415469881467697,0.00343865043084267,0.0355596909260083,0.0977385816578341
"12","Arts","Visual And Performing Arts",167,20623,1430,1062,17386,0.00168205457464932,0.0693400572176696,0.0514959026329826,0.843039325025457,1232,11882,0.0597391262183,0.576152839063182,26290.914,35391.615,49042.6665,3312,4094,16529,15385,2041,0,1589,1250,0.160597391262183,0.198516219754643,0.801483780245357,0.746011734471221,0.0989671725743102,0,0.0770498957474664,0.0606119381273336
"13","Biology & Life Science","Biochemical Sciences",571,61317,14387,11961,32317,0.00500114146117307,0.234633135998173,0.195068251871422,0.527047963859941,1323,17365,0.0215763980625275,0.283200417502487,29324.481,41458.749,55000,10333,32534,28783,40047,3023,0,13317,6770,0.168517703083973,0.530586949785541,0.469413050214459,0.653114144527619,0.0493011725948758,0,0.217182836733695,0.110409837402352
"14","Biology & Life Science","Biology",3553,410036,70677,82335,235743,0.033443385034714,0.172367792096304,0.200799442000215,0.574932444956053,14065,162604,0.0343018661776039,0.396560302022261,27000,38000,52581.828,85899,157218,252818,295854,43017,1630,47898,38321,0.209491361734092,0.383424870011414,0.616575129988586,0.721531767942327,0.104910300558975,0.00397526070881581,0.116814133393165,0.0934576476211845
"15","Biology & Life Science","Ecology",203,20416,3896,1807,13708,0.00166517122610874,0.190830721003135,0.088509012539185,0.671434169278997,1003,10292,0.0491281347962382,0.504114420062696,25000,32358.048,42000,4007,8780,11636,18193,1065,0,471,1917,0.19626763322884,0.430054858934169,0.569945141065831,0.891114811912226,0.0521649686520376,0,0.0230701410658307,0.0938969435736677
